id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,name,img
onlyap649707,https://www.only-apartments.es/_/649707,-3.747963309288025,40.404738546132116,2017-11-30 19:56:38.185000,2018-04-14 18:47:29.743000,onlyap649707,Apartamento,,6,,2,,Apartamento Toprent Cebreros Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/7/97/64/649707-b68847bc-be9d-43ed-97db-dbddaf59f974.jpg
onlyap649706,https://www.only-apartments.es/_/649706,-3.7598580000000084,40.4027895,2017-11-30 19:56:38.185000,2018-04-14 19:03:33.641000,onlyap649706,Apartamento,,6,,2,,Apartamento Toprent San Roberto Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/6/97/64/649706-91651467-266c-4c36-8918-9f7f6180a6a1.jpg
onlyap402350,https://www.only-apartments.es/_/402350,-3.74551,40.38398,2017-11-30 19:56:38.186000,2018-04-15 03:37:54.301000,onlyap402350,Apartamento,,8,18,3,,Apartamento AP SOLEADO WIFI Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/69/39/66/20001573663969-63181d2f-a32b-4a02-b8ee-6bc25a662587.jpg
onlyap651339,https://www.only-apartments.es/_/651339,-3.763933182,40.375109578,2017-11-30 19:56:38.185000,2018-04-15 00:39:13.525000,onlyap651339,Apartamento,,4,,2,,Apartamento Apartamento Aluche Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/45/20/8/20001575082045-d8a84a09-108d-449c-a934-e6baf583f053.jpg
onlyap624789,https://www.only-apartments.es/_/624789,-3.64903,40.3843699,2017-11-30 19:56:38.186000,2018-04-14 19:04:18.130000,onlyap624789,Apartamento,,6,,3,,"Apartamento Pedro en Madrid, Madrid Madrid",https://images.cerbium.cloud/migoa/tr:n-big/pictures/40/16/87/20001574871640-011c4508-6588-4c45-9fba-d8eb10b39451.jpg
onlyap637029,https://www.only-apartments.es/_/637029,-3.6782541,40.3978696,2017-11-30 19:56:38.186000,2018-01-04 15:22:08.344000,onlyap637029,Apartamento,,10,,4,,"Apartamento Madrid Mendez Alvaro en Madrid, Madrid Madrid",https://lh3.googleusercontent.com/zo_vYFGLxxZym8_Wduq_KcXrqiWhI8ueR-1XlOHjKq1_yYVK1x-RP5QKyXCkVe0yOkfdzSZIlKt1Ge0PFe_OMtymG12hCTLFWcLX=s926
onlyap550153,https://www.only-apartments.es/_/550153,-3.67825,40.39786,2017-11-30 19:56:38.185000,2018-04-14 19:26:14.110000,onlyap550153,Apartamento,,10,2,4,,Apartamento Mendez Alvaro Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/55/60/60/20001574606055-fc674858-45c0-4ca8-9800-909e07383efa.jpg
onlyap717114,https://www.only-apartments.es/_/717114,-3.67611420000003,40.4126152,2018-03-31 17:54:56.645000,2018-04-14 17:23:39.979000,onlyap717114,Apartamento,,6,,2,,Apartamento Torre Retiro City Center Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/48/55/43/20001575435548-14285a49-dfba-4cc9-a063-c6f41249473d.jpg
onlyap712360,https://www.only-apartments.es/_/712360,-3.68274,40.40814,2017-11-30 19:56:38.185000,2018-04-15 00:24:53.065000,onlyap712360,Apartamento,,3,,1,,Apartamento Apartamento con terraza y vistas al Retiro de Madrid Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/12/30/43/20001575433012-884f622e-a7b9-48b3-8b1e-0d97794983de.jpg
onlyap445476,https://www.only-apartments.es/_/445476,-3.682838,40.408271,2017-11-30 19:56:38.185000,2018-01-04 15:15:42.382000,onlyap445476,Apartamento,,5,1,1,,Apartamento Apartamento-Atico Parque del Retiro Madrid,https://lh3.googleusercontent.com/fgNOuo2NEGbNfmZ5_rUSsXfnCfTVj_51jowMb0dcuVTofqhoHshJyraY4pVA-M-9GteqIyrxzlx9PiNVL3OqoZJAX89mRSNFmrs=s1038
onlyap674418,https://www.only-apartments.es/_/674418,-3.68679,40.406636,2018-03-31 17:55:27.547000,2018-04-14 21:05:45.249000,onlyap674418,Apartamento,,9,,4,,Apartamento The Atocha III apartment in Madrid Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/74/79/22/20001575227974-98d21be0-4aac-4393-a8d0-2541c0e8b608.jpg
onlyap727203,https://www.only-apartments.es/_/727203,-3.69231990000003,40.4064397,2018-03-31 17:55:27.547000,2018-04-14 21:07:40.580000,onlyap727203,Apartamento,,8,,3,,Apartamento Puerta de Atocha City Center Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/26/97/50/20001575509726-2c677491-7f83-474a-b9b2-973468bef805.jpg
onlyap401743,https://www.only-apartments.es/_/401743,-3.6948012999999946,40.41213430000001,2017-11-30 19:56:38.186000,2018-04-15 03:03:34.351000,onlyap401743,Apartamento,,4,1,1,,Apartamento Apartamento Museo del Prado Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/78/51/66/20001573665178-1278d67f-6779-41dd-8af6-bc4531fc389f.jpg
onlyap908910,https://www.only-apartments.es/_/908910,-3.6942309,40.4110827,2018-03-31 17:54:22.588000,2018-04-15 01:50:28.243000,onlyap908910,Apartamento,,4,,1,,"Apartamento Alterhome, Atocha VII Madrid",https://images.cerbium.cloud/migoa/tr:n-big/pictures/78/62/30/20001576306278-763f32f9-d967-46d5-b167-c41f414dadfe.jpg
onlyap674594,https://www.only-apartments.es/_/674594,-3.693847,40.40953,2018-03-31 17:55:27.544000,2018-04-14 20:46:00.826000,onlyap674594,Apartamento,,9,,4,,Apartamento The Reina Sofia IV apartment in Madrid Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/52/81/22/20001575228152-0cfef68b-faef-4ea5-97fa-ea95ba5e2899.jpg
onlyap672748,https://www.only-apartments.es/_/672748,-3.69279119999999,40.4091069,2017-11-30 19:56:38.186000,2018-04-14 18:28:29.159000,onlyap672748,Apartamento,,8,1,4,,Apartamento Atocha City Center Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/47/13/21/20001575211347-b96c86c0-7b94-4da3-9f01-c1f4fae8b7b3.jpg
onlyap674312,https://www.only-apartments.es/_/674312,-3.693164,40.408755,2018-03-31 17:55:14.207000,2018-04-14 19:38:34.948000,onlyap674312,Apartamento,,7,,3,,Apartamento The Reina Sofia II apartment in Madrid Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/69/78/22/20001575227869-6c8fca8e-d4bd-4b01-86ed-c55b18f1c971.jpg
onlyap719261,https://www.only-apartments.es/_/719261,-3.6929314,40.408732,2017-11-30 19:56:38.186000,2018-04-15 03:46:23.289000,onlyap719261,Apartamento,,5,,1,,Apartamento Atocha Hub - MADFlats Collection Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/10/8/45/20001575450810-9372dcba-0a63-4b6c-9762-262957c5fc3d.jpg
onlyap402388,https://www.only-apartments.es/_/402388,-3.69595,40.41044,2017-11-30 19:56:38.185000,2018-04-14 22:12:28.225000,onlyap402388,Apartamento,,3,3,1,,Apartamento CENTRAL ART FLAT 10min Puerta del Sol Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/70/65/66/20001573666570-19fa66da-952b-4064-a5d4-4ef2722e5be8.jpg
onlyap346324,https://www.only-apartments.es/_/346324,-3.697411,40.408055,2017-11-30 19:56:38.186000,2018-04-15 02:47:04.812000,onlyap346324,Estudio,,3,2,1,,Apartamento Apartamento TAYLOR Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/18/32/34/20001573343218-4f131830-d135-420c-a507-621ccf3331c3.jpg
onlyap519944,https://www.only-apartments.es/_/519944,-3.69741,40.40805,2017-11-30 19:56:38.186000,2018-04-15 02:20:56.166000,onlyap519944,Estudio,,4,2,2,,Apartamento Centro Lavapies Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/19/30/43/20001574433019-4e67fc48-53c9-493b-bc1b-3222d7b0846c.jpg
onlyap346321,https://www.only-apartments.es/_/346321,-3.696787,40.409507,2017-11-30 19:56:38.185000,2018-04-14 22:21:48.747000,onlyap346321,Apartamento,,3,1,1,,Apartamento Apartamento BAXTER II Madrid,https://images.cerbium.cloud/migoa/tr:n-big/pictures/14/32/34/20001573343214-53e48f91-d53d-42cb-8455-d08056489818.jpg
