id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
793618,Luxury home in an old Convent.,4180632,Gabriel Asdrúbal,Centro,Palacio,40.41103423060262,-3.7120145701330385,Entire home/apt,240,2,123,2015-09-01,4.03,2,288
3341273,Ático en Sol-Ópera con gran terraza,11932198,Humberto,Centro,Palacio,40.42013233300919,-3.712108885338385,Entire home/apt,90,2,13,2015-04-24,1.04,1,363
6432546,El Roof Top de Plaza Mayor,2848177,Luigi,Centro,Palacio,40.41220972824109,-3.7100373113069134,Entire home/apt,78,1,1,2015-07-24,0.70,4,365
6097605,C/ Mazarredo,21556243,Txema,Centro,Palacio,40.41427940282933,-3.7190274658919096,Entire home/apt,60,1,0,,,1,109
7254901,Urban Design Apartment,36963267,Patricia,Centro,Palacio,40.409772879140974,-3.7108883001968382,Entire home/apt,120,1,0,,,13,365
2761815,"Natty apartment in ""Zona Palacio""",13612054,Maribel,Centro,Palacio,40.42183516034341,-3.710250343817897,Entire home/apt,78,2,6,2015-08-07,0.37,4,51
6477859,Loft familiar lujo! Centro Madrid!!,33844767,Elena Y Pachi,Centro,Palacio,40.411150646897,-3.710606791677586,Entire home/apt,149,2,1,2015-07-06,0.49,1,358
4150336,"BAILÉN I, Madrid, Friendly Rentals",21514948,Raquel,Centro,Palacio,40.41331505489578,-3.7135524156405224,Entire home/apt,110,3,0,,,121,235
7006923,Apartment in the heart of Madrid.,10942518,Edouard,Centro,Palacio,40.41533159106625,-3.710741477023328,Entire home/apt,50,2,1,2015-08-24,1,4,133
3403585,CASA CON ENCANTO EN MADRID CENTRO,17164205,Paloma,Centro,Palacio,40.41467687183843,-3.7133631221630963,Entire home/apt,150,4,0,,,1,362
469231,ATICO PRECIADOS,1408525,Mad4Rent,Centro,Palacio,40.42024682375967,-3.7080432031554946,Entire home/apt,75,3,6,2015-06-02,0.49,42,329
475708,Apartment in Madrid de los Austrias,2358486,Marta,Centro,Palacio,40.41263921304129,-3.7133796888027875,Entire home/apt,110,4,1,2013-07-17,0.04,1,246
6381965,Apart. céntrico de 3 habitaciones,7005367,Sergio,Centro,Palacio,40.41047580725537,-3.7131938617714764,Entire home/apt,100,3,1,2015-05-31,0.31,3,359
4924944,Arty apartment at the best location,4916611,Luis,Centro,Palacio,40.420238453268304,-3.710006187825005,Entire home/apt,250,3,1,2015-07-19,0.63,1,352
6061831,Wonderful Views Latina Apartment,30476021,Marta,Centro,Palacio,40.411488588330904,-3.7099710344728427,Entire home/apt,200,2,4,2015-08-11,1.35,2,62
6764727,Popeye y Olivia,34626644,Palacio PL Del Conde De Miranda,Centro,Palacio,40.413926254442025,-3.71036328195667,Entire home/apt,99,1,1,2015-07-06,0.49,9,359
757065,Lovely attic and rooftop terrace,3986664,Marie,Centro,Palacio,40.41974126951037,-3.709075447859717,Entire home/apt,150,2,16,2015-07-07,0.47,1,365
6922694,Beautiful Room w Private Terrace,35941439,Anyely,Centro,Palacio,40.41418927948573,-3.7205484110674027,Private room,45,3,0,,,1,49
7630126,Luminous Centric Room Plaza Mayor.,18280888,Filippo,Centro,Palacio,40.41630039476949,-3.7104834658384096,Private room,28,1,1,2015-08-21,1,2,337
59923,Habitación en el centro de Madrid,288380,Patricia,Centro,Palacio,40.419710909635434,-3.712556330412948,Private room,35,1,4,2015-06-03,0.08,2,268
7401120,Comfortable Apartment  Madrid,36963267,Patricia,Centro,Palacio,40.40955949374424,-3.7103243462302076,Entire home/apt,120,1,0,,,13,363
2382355,Bohemian&Glamourous Penthouse-loft,3753476,Estancias Con Arte,Centro,Palacio,40.41669932905734,-3.709429712253789,Entire home/apt,280,7,0,,,8,365
1403417,"Beautiful Penthouse in La latina,",3017710,Fernando,Centro,Palacio,40.413930996617694,-3.710207571770419,Entire home/apt,100,2,18,2015-07-07,0.71,1,342
6596414,Precioso apartamento en zona Latina,22157801,Cristina,Centro,Palacio,40.41007293982047,-3.7164233380398715,Entire home/apt,90,2,1,2015-06-22,0.40,2,364
4235268,"Vanguardist apartment in ""Zona Pala",13612054,Maribel,Centro,Palacio,40.42132609229604,-3.709198451179676,Entire home/apt,88,1,0,,,4,51
4531142,Modern Flat 2 bedrooms 2 bathrooms,3972942,Manuel,Centro,Palacio,40.411620565826226,-3.7085103167439573,Entire home/apt,100,3,0,,,6,302
1170855,Bright CHIC LOFT! Historic District,927343,Jose,Centro,Palacio,40.42082744524122,-3.7092578274268058,Entire home/apt,85,2,28,2015-08-18,1.01,4,331
6616100,Don Quijote y Dulcinea,34626644,Palacio PL Del Conde De Miranda,Centro,Palacio,40.41429361750534,-3.708759113397057,Entire home/apt,163,1,2,2015-08-10,1.00,9,362
4690899,"LATINA XV, Madrid, Friendly Rentals",21514948,Raquel,Centro,Palacio,40.41271419408556,-3.708069834246439,Entire home/apt,200,3,0,,,121,347
6053361,Double room - Private bathroom WIFI,543949,Valentín,Centro,Palacio,40.4137720052212,-3.710936678263764,Private room,59,2,0,,,3,365
3360810,Habitación doble PRIV N3 la LATINA!,1528801,Ernesto,Centro,Palacio,40.41267766188172,-3.709107075734698,Private room,16,3,3,2014-09-15,0.21,19,224
3453225,Habt. Doble Privada N5 en Opera!!,1528801,Ernesto,Centro,Palacio,40.420323008210126,-3.7091190250228596,Private room,15,3,0,,,19,0
6284313,Amplia habitación en el Centro,24668663,Fabiola,Centro,Palacio,40.41889315645002,-3.7087292395692004,Private room,40,1,2,2015-07-05,0.54,1,90
6633956,Habitación en centro de Madrid,34724188,Cristina,Centro,Palacio,40.414787752522564,-3.7098415838063956,Private room,75,1,0,,,1,365
751530,Downtown Apartment.PLAZA MAYOR.Wifi,3898452,Consuelo,Centro,Palacio,40.4143359937379,-3.708473227191064,Entire home/apt,59,2,137,2015-08-11,3.97,2,324
7236985,Bright room with great terrace.,7889341,Christian,Centro,Palacio,40.414568731900474,-3.708567648042078,Private room,15,1,10,2015-08-30,9.09,2,33
5963083,ROYAL PALACE / OPERA,6000896,Neto And Paco,Centro,Palacio,40.41767096427345,-3.7091059070537593,Entire home/apt,49,1,21,2015-08-24,5.43,3,345
6847125,HABITACIÓN PARA 2 CON TERRAZA,21039137,Clara,Centro,Palacio,40.413866903615116,-3.7102334344936576,Private room,37,2,3,2015-07-12,1.45,1,54
6549282,1 bedroom next to Madrid River,14871323,Mireia & Sito,Centro,Palacio,40.408020368812096,-3.7141498445791257,Entire home/apt,100,3,2,2015-07-07,0.67,3,364
6549286,Estudio Estándar - 305,6307508,Plaza De Oriente,Centro,Palacio,40.42023869129451,-3.715514857777866,Entire home/apt,69,1,0,,,28,281
1603595,Beautiful apartment at Palacio,6515993,Javier,Centro,Palacio,40.41379109818933,-3.7116829843365062,Entire home/apt,85,3,29,2015-07-08,1.21,1,353
6549409,Estudio Deluxe - 405,6307508,Plaza De Oriente,Centro,Palacio,40.42106779013886,-3.7134113365999,Entire home/apt,75,1,0,,,28,292
6483900,BUHARDILLA EN GRAN VIA Y PZA ESPAÑA,22424921,Manuel,Centro,Palacio,40.422741856205995,-3.710020335122899,Entire home/apt,65,2,0,,,1,319
1152744, Double room with private bathroom,897250,Sabela,Centro,Palacio,40.414367590540635,-3.713352284637064,Private room,55,3,15,2015-05-19,1.15,1,360
1470688,Precioso piso Madrid histórico,3917503,Joako,Centro,Palacio,40.41321913650548,-3.709541062491828,Entire home/apt,120,2,17,2015-05-04,0.72,2,365
1257797,Penthouse with terrace in La Latina,6851179,Ana,Centro,Palacio,40.41012399434829,-3.7099835417737195,Entire home/apt,50,2,13,2015-08-14,0.54,1,285
7762473,Que apartamento tan bonito!!!!,40818167,Jose,Centro,Palacio,40.42036828876956,-3.706012902300902,Entire home/apt,80,1,0,,,1,358
6550065,Apartamento EnSuite - 302,6307508,Plaza De Oriente,Centro,Palacio,40.42075271425415,-3.71319428282878,Entire home/apt,85,1,0,,,28,342
1408400,A bonbon in the heart of Madrid,7595958,Sol,Centro,Palacio,40.41595309515621,-3.7115207973969553,Entire home/apt,66,2,84,2015-08-29,3.50,1,324
1150753,Centro Sol  Plaza Mayor Gran Via,6306910,Juanma,Centro,Palacio,40.415151072071495,-3.712581745512402,Entire home/apt,44,3,71,2015-08-31,2.61,2,318
6935567,Apartamento Privado en pleno centro,871060,Gloria,Centro,Palacio,40.4222221312939,-3.7120402910077326,Entire home/apt,45,1,2,2015-08-14,1.11,5,357
867286,Hab. ext. con balcón-Palacio Real-,2136244,Fermin,Centro,Palacio,40.41536710636419,-3.7110910974641205,Private room,42,2,19,2015-07-08,0.61,3,365
5922121,Confort in La Latina,30750005,Maite Jiménez,Centro,Palacio,40.41112626921408,-3.716785695936312,Private room,32,5,0,,,33,107
4206383,Puente Segovia Madrid Centro,901218,Marco,Centro,Palacio,40.41262907933919,-3.7147175098843093,Private room,34,1,5,2015-05-06,0.44,24,361
5368013,APARTAMENTO PALACIO - 1 DORMITORIO,24000035,Pedro,Centro,Palacio,40.42116010353087,-3.713120477375873,Entire home/apt,130,4,0,,,6,365
1500875,Reformado Madrid céntrico ( M ),4839888,Alicia,Centro,Palacio,40.42094185959985,-3.711018423766072,Entire home/apt,70,2,5,2015-07-05,0.24,12,325
3150371,Double room + bathroom - La Latina,11902716,Daniel Y Ximena,Centro,Palacio,40.41010608050749,-3.714754034177323,Private room,36,2,43,2015-08-09,2.89,1,5
830428,"Opera I Apartment, Central Madrid",311107,Mike,Centro,Palacio,40.42178519348654,-3.7109523928016137,Entire home/apt,89,3,3,2015-05-17,0.09,5,365
3837487,Remod 2Bd+2Bath in Historic Madrid ,18405319,Jose Maria,Centro,Palacio,40.41248383399594,-3.711343906655386,Entire home/apt,70,2,10,2015-09-01,1.11,1,323
4991064,Bedroom in La Latina district,10361053,Alexandre,Centro,Palacio,40.41185438012969,-3.7113501638373263,Private room,45,1,6,2015-08-20,0.98,1,362
6564814,Apartamento de un dormitorio - 208,6307508,Plaza De Oriente,Centro,Palacio,40.420930517448376,-3.7132101531875823,Entire home/apt,99,1,0,,,28,308
1288104,Habitación céntrica con balcón,7005367,Sergio,Centro,Palacio,40.408754738035604,-3.711758024779692,Private room,25,3,3,2014-09-30,0.22,3,365
3453147,HABIT.DOBLE GRANDE.N1 EN LA LATINA!,1528801,Ernesto,Centro,Palacio,40.41284453423279,-3.7079152113577054,Private room,16,3,4,2015-08-13,0.33,19,219
7618785,HABITACIÓN EL LA LATINA,39958878,María,Centro,Palacio,40.41150366608141,-3.708743163096002,Private room,30,1,0,,,1,13
4735412,COOL APARTAMENTO//LA LATINA//WIFI,24447963,Cristina,Centro,Palacio,40.408388506987,-3.7112669650124746,Entire home/apt,50,1,22,2015-08-23,3.17,1,282
7668220,Apartment by the Plaza Mayor,106801,Carmen,Centro,Palacio,40.413283312621495,-3.7089071499792983,Entire home/apt,49,2,0,,,2,317
8145664,Apartamento Vintage en La Latina,543949,Valentín,Centro,Palacio,40.41311507920252,-3.7118358199685373,Entire home/apt,99,1,0,,,3,365
819738,Beautiful apartment downtown Madrid,4305310,Begoña,Centro,Palacio,40.42041196803605,-3.7087422407285255,Entire home/apt,92,3,20,2015-08-05,0.62,3,298
1675910,Casa/apto entero Madrid Palacio 9,8865288,Agustín,Centro,Palacio,40.41957786326515,-3.7135839947637113,Entire home/apt,70,2,0,,,5,318
1622564,Duplex-terrace close to Gran Vía,2564339,Alfonso & Guillermo,Centro,Palacio,40.42133189186281,-3.711310791744965,Entire home/apt,93,3,11,2015-03-16,0.54,7,118
5173058,Estudio Moderno ,24000035,Pedro,Centro,Palacio,40.420595416748554,-3.713116282014354,Entire home/apt,71,5,0,,,6,365
3389625,QUIET FLAT IN THE HISTORICAL CENTER,4794809,David,Centro,Palacio,40.41009004564876,-3.710592076238169,Entire home/apt,60,2,27,2015-09-01,2.00,1,307
7704291,CENTRO  SOL GRAN VIA,22791586,Lola,Centro,Palacio,40.41990146277968,-3.7085471924098647,Entire home/apt,80,1,0,,,5,360
4047408,"""LA PALOMA"" CENTER.AIR CONDITIONER",5537924,Amaia Y Agustin,Centro,Palacio,40.4092705814406,-3.712204173160127,Entire home/apt,65,3,54,2015-08-29,4.59,3,329
1426027,"Hasta 6 personas Apart. ""La Latina""",5633658,Sergio,Centro,Palacio,40.4104027657349,-3.7109316449541443,Entire home/apt,65,3,18,2015-04-28,0.78,1,305
