id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,name,img
homeawp8411671,https://www.homeaway.es/p8411671,-3.78121755,40.45874709,2017-10-13 17:44:46.873000,2018-04-15 10:44:59.680000,homeaw8411671,Apartamento,2,6,0,0,170,Tu casa renovada en Aravaca (Hospitales Zarzuela y NISA)   ,https://imagesus-ssl.homeaway.com/mda01/f73ab64d-b108-419f-963e-d42c3357d9b5.1.3
homeawp6809632,https://www.homeaway.es/p6809632,-3.78145355,40.45850472,2017-10-13 17:34:40.979000,2018-04-15 10:31:25.521000,homeaw6809632,Apartamento,3,8,3,1,90,Fantastico atico ARAVACA MADRID   ,https://imagesus-ssl.homeaway.com/mda01/0aaece6a-7a35-4434-b130-5bebb098f01f.1.3
homeawp8186057,https://www.homeaway.es/p8186057,-3.74796331,40.40473855,2017-10-13 17:43:57.829000,2018-04-14 22:10:05.175000,homeaw8186057,Apartamento,2,6,0,2,125,"En Madrid con Internet, Aire acondicionado, Ascensor, Aparcamiento (649707)   ",https://imagesus-ssl.homeaway.com/mda01/b3f3c255-3501-45a6-a10e-30891237ec8c.1.3
homeawp8523958,https://www.homeaway.es/p8523958,-3.74707881,40.40625707,2018-01-18 20:14:18.306000,2018-04-15 10:50:49.914000,homeaw8523958,Apartamento,1,4,0,2,137,Moderno apartamento a estrenar muy cerca del centro de Madrid    ,https://imagesus-ssl.homeaway.com/mda01/737e61f6-24c7-4100-bfcf-1d003bab2b02.1.3
homeawp8523229,https://www.homeaway.es/p8523229,-3.74946009,40.40604873,2018-01-18 20:14:18.306000,2018-04-15 10:33:56.960000,homeaw8523229,Apartamento,1,4,0,2,138,Moderno apartamento a estrenar muy cerca del centro de Madrid    ,https://imagesus-ssl.homeaway.com/mda01/97f2c44d-e1b7-41e3-bbd6-9f2370551022.1.3
homeawp4568358,https://www.homeaway.es/p4568358,-3.75262562,40.40679217,2017-10-13 17:43:32.242000,2017-11-06 15:58:28.666000,homeaw4568358,Apartamento,4,5,0,4,88,MADRID - Apartamento de 4 dormitorios en el centro junto al Parque Casa de Campos   ,https://imagesus-ssl.homeaway.com/mda01/48325b4d-a425-48cf-9b77-6868b5147dfa.1.9
homeawp8273907,https://www.homeaway.es/p8273907,-3.74987478,40.40906253,2017-10-13 17:34:30.595000,2018-04-15 10:18:25.358000,homeaw8273907,Casa,2,7,3,3,79,maravilloso piso amplio frente al mayor parque urbano de Madrid    ,https://imagesus-ssl.homeaway.com/mda01/1138ac88-522a-479a-863b-fe539cc2fb9e.1.3
homeawp8465342,https://www.homeaway.es/p8465342,-3.76093992,40.4029346,2017-12-03 10:43:32.830000,2018-04-15 11:04:28.562000,homeaw8465342,Apartamento,2,5,0,2,95,En Madrid Junto a Metro Casa de Campo   ,https://imagesus-ssl.homeaway.com/mda01/bf954e71-f2c3-4609-8ee0-eb7e28c04f26.1.3
homeawp8181051,https://www.homeaway.es/p8181051,-3.759858,40.4027895,2017-10-13 17:43:54.303000,2018-04-15 11:03:58.376000,homeaw8181051,Apartamento,2,6,0,2,125,"En Madrid con Internet, Aire acondicionado, Lavadora (649706)   ",https://imagesus-ssl.homeaway.com/mda01/85399118-bd36-41e4-8018-8c0176064834.1.3
homeawp6442265,https://www.homeaway.es/p6442265,-3.75957751,40.39449692,2017-10-13 17:34:36.715000,2018-04-15 10:35:11.399000,homeaw6442265,Apartamento,3,4,6,5,90,MADRID APARTAMENTO ESTUPENDO. RECIEN REMODELADO!!!   ,https://imagesus-ssl.homeaway.com/mda01/8ad42f9e-f389-466e-95b0-3670c9ae3f53.1.3
