nombre_barrio,distritos,cod_barrio,Ubicación,2010,2011,2012,2013,2014,2015,2016,2017,2018
Palacio,01. CENTRO,011,Almendra central,106.33,105.66,103.73,102.64,100.80,100.00,101.01,100.84,101.87
Embajadores,01. CENTRO,012,Almendra central,113.42,111.83,109.51,107.23,103.26,100.00,101.53,100.82,101.19
Cortes,01. CENTRO,013,Almendra central,106.02,106.36,104.38,103.87,101.83,100.00,101.34,100.37,100.70
Justicia,01. CENTRO,014,Almendra central,107.59,107.09,105.33,105.02,102.71,100.00,101.46,101.18,102.73
Universidad,01. CENTRO,015,Almendra central,109.24,108.59,106.45,105.90,102.45,100.00,100.61,100.16,101.08
Sol,01. CENTRO,016,Almendra central,110.44,111.32,106.96,106.53,102.20,100.00,101.02,99.92,98.45
Imperial,02. ARGANZUELA,021,M-30,102.54,102.50,102.26,102.27,100.63,100.00,100.19,100.04,100.62
Las Acacias,02. ARGANZUELA,022,M-30,104.17,103.74,102.49,102.30,101.03,100.00,100.17,100.32,100.80
La Chopera,02. ARGANZUELA,023,M-30,108.75,106.97,104.31,104.20,101.67,100.00,100.33,99.55,100.03
Legazpi,02. ARGANZUELA,024,M-30,89.00,92.17,95.28,97.33,98.09,100.00,102.66,105.67,107.60
Las Delicias,02. ARGANZUELA,025,M-30,101.94,103.12,102.99,102.71,101.03,100.00,101.94,102.50,103.67
Palos de Moguer,02. ARGANZUELA,026,M-30,109.08,107.45,106.37,105.68,102.56,100.00,100.63,100.20,101.26
Atocha,02. ARGANZUELA,027,M-30,91.85,90.29,90.57,100.37,99.73,100.00,101.74,101.56,106.87
Pacífico,03. RETIRO,031,M-30,106.55,104.87,103.92,103.02,101.39,100.00,100.22,99.97,100.15
Adelfas,03. RETIRO,032,M-30,98.78,99.03,99.90,99.72,98.81,100.00,102.73,103.98,105.42
Estrella,03. RETIRO,033,M-30,104.36,103.31,102.52,101.72,100.70,100.00,99.84,99.68,100.25
Ibiza,03. RETIRO,034,M-30,106.00,105.01,103.20,102.50,101.44,100.00,100.14,99.73,100.65
Los Jerónimos,03. RETIRO,035,M-30,104.18,103.53,101.94,102.54,101.20,100.00,100.40,100.71,101.43
Niño Jesús,03. RETIRO,036,M-30,104.24,103.80,103.31,101.55,99.97,100.00,100.35,99.86,100.78
Recoletos,04. SALAMANCA,041,M-30,101.96,102.30,100.74,100.84,99.54,100.00,100.94,101.13,103.11
Goya,04. SALAMANCA,042,M-30,104.71,103.88,102.59,102.47,100.59,100.00,100.64,101.21,102.61
Fuente del Berro,04. SALAMANCA,043,M-30,106.80,106.01,104.24,103.41,101.82,100.00,99.90,99.20,100.27
Guindalera,04. SALAMANCA,044,M-30,103.03,102.68,102.72,101.79,100.63,100.00,100.24,100.75,102.58
Lista,04. SALAMANCA,045,M-30,104.83,104.86,103.76,103.39,101.48,100.00,101.45,102.06,103.33
Castellana,04. SALAMANCA,046,M-30,100.40,101.19,100.38,101.64,101.05,100.00,100.95,101.99,101.79
El Viso,05. CHAMARTÍN,051,Periferia,98.72,99.70,100.39,100.54,100.07,100.00,101.41,101.67,102.48
Prosperidad,05. CHAMARTÍN,052,Periferia,106.00,105.01,104.05,103.16,101.35,100.00,100.45,100.27,101.76
Ciudad Jardín,05. CHAMARTÍN,053,Periferia,105.14,104.70,102.81,102.45,100.63,100.00,101.31,101.63,102.92
Hispanoamérica,05. CHAMARTÍN,054,Periferia,102.70,102.49,101.93,102.01,100.91,100.00,100.97,101.04,101.78
Nueva España,05. CHAMARTÍN,055,Periferia,102.13,102.19,102.02,101.65,100.27,100.00,101.00,103.41,105.30
Castilla,05. CHAMARTÍN,056,Periferia,104.39,104.90,103.84,102.66,101.81,100.00,100.04,101.23,103.32
Bellas Vistas,06. TETUÁN,061,Periferia,106.38,105.63,104.45,103.78,101.11,100.00,100.70,101.23,103.03
Cuatro Caminos,06. TETUÁN,062,Periferia,104.07,103.41,102.72,102.75,100.89,100.00,100.90,101.81,103.04
Castillejos,06. TETUÁN,063,Periferia,105.43,104.39,103.58,103.86,101.65,100.00,100.81,101.75,104.08
Almenara,06. TETUÁN,064,Periferia,103.27,102.24,102.44,102.12,101.14,100.00,100.55,101.53,103.93
Valdeacederas,06. TETUÁN,065,Periferia,102.79,102.64,102.86,103.71,101.37,100.00,101.42,102.57,104.28
Berruguete,06. TETUÁN,066,Periferia,104.49,103.65,103.44,103.05,100.62,100.00,102.37,102.86,104.43
Gaztambide,07. CHAMBERÍ,071,M-30,107.14,105.24,103.51,103.77,101.29,100.00,100.08,99.05,100.53
Arapiles,07. CHAMBERÍ,072,M-30,106.94,105.63,103.39,103.19,101.31,100.00,99.23,99.79,100.78
Trafalgar,07. CHAMBERÍ,073,M-30,107.51,106.37,103.61,103.33,101.07,100.00,100.82,100.81,101.13
Almagro,07. CHAMBERÍ,074,M-30,103.93,103.55,101.30,101.52,100.18,100.00,100.81,100.80,101.59
Ríos Rosas,07. CHAMBERÍ,075,M-30,104.74,104.37,103.38,103.11,101.12,100.00,99.96,100.10,101.19
Vallehermoso,07. CHAMBERÍ,076,M-30,103.52,102.66,102.29,101.18,100.48,100.00,100.34,99.99,101.73
El Pardo,08. FUENCARRAL-EL PARDO,081,Periferia,102.77,101.20,101.08,101.46,100.64,100.00,98.57,99.12,101.49
Fuentelarreina,08. FUENCARRAL-EL PARDO,082,Periferia,100.43,99.63,99.57,99.41,100.40,100.00,98.97,99.29,100.71
Peñagrande,08. FUENCARRAL-EL PARDO,083,Periferia,104.44,103.69,102.49,102.19,100.86,100.00,99.96,100.22,100.82
Del Pilar,08. FUENCARRAL-EL PARDO,084,Periferia,107.52,106.00,104.57,103.51,101.42,100.00,100.12,100.29,101.27
La Paz,08. FUENCARRAL-EL PARDO,085,Periferia,105.61,104.45,103.03,102.23,100.83,100.00,99.26,98.70,98.86
Valverde,08. FUENCARRAL-EL PARDO,086,Periferia,90.56,94.19,96.60,98.21,98.72,100.00,102.90,105.15,108.76
Mirasierra,08. FUENCARRAL-EL PARDO,087,Periferia,99.61,100.56,100.45,100.10,99.62,100.00,102.10,106.77,111.05
El Goloso,08. FUENCARRAL-EL PARDO,088,Periferia,68.74,76.75,85.17,91.29,95.39,100.00,103.88,107.67,111.38
Casa de Campo,09. MONCLOA-ARAVACA,091,Periferia,105.08,103.41,99.92,98.42,96.59,100.00,101.92,101.74,102.61
Argüelles,09. MONCLOA-ARAVACA,092,Periferia,104.10,104.33,102.09,102.49,100.83,100.00,100.25,100.23,100.81
Ciudad Universitaria,09. MONCLOA-ARAVACA,093,Periferia,101.22,100.64,98.65,99.49,99.09,100.00,101.50,101.72,102.33
Valdezarza,09. MONCLOA-ARAVACA,094,Periferia,105.44,104.47,103.29,102.33,100.76,100.00,99.68,99.15,100.01
Valdemarín,09. MONCLOA-ARAVACA,095,Periferia,88.99,91.65,95.75,98.68,97.99,100.00,100.81,102.20,104.81
El Plantío,09. MONCLOA-ARAVACA,096,Periferia,102.56,103.17,101.34,100.85,99.35,100.00,104.59,110.48,111.17
Aravaca,09. MONCLOA-ARAVACA,097,Periferia,100.95,101.44,100.56,100.79,100.42,100.00,100.70,101.22,103.35
Los Cármenes,09. MONCLOA-ARAVACA,101,Periferia,106.10,104.92,103.56,103.24,101.47,100.00,100.31,100.67,101.85
Puerta del Ángel,09. MONCLOA-ARAVACA,102,Periferia,111.12,109.38,106.94,104.86,102.09,100.00,99.98,100.22,101.52
Lucero,09. MONCLOA-ARAVACA,103,Periferia,109.74,107.15,104.86,103.80,101.41,100.00,100.02,99.96,100.83
Aluche,09. MONCLOA-ARAVACA,104,Periferia,110.17,108.34,106.17,104.76,101.93,100.00,99.29,98.64,99.85
Campamento,09. MONCLOA-ARAVACA,105,Periferia,109.01,107.68,105.11,104.12,101.27,100.00,99.76,99.56,101.01
Cuatro Vientos,09. MONCLOA-ARAVACA,106,Periferia,76.36,82.45,85.90,91.18,95.92,100.00,109.38,113.70,118.05
Las Águilas,09. MONCLOA-ARAVACA,107,Periferia,109.50,107.86,105.46,103.90,101.58,100.00,99.62,99.46,100.08
Comillas,11. CARABANCHEL,111,Periferia,108.48,106.76,104.97,103.10,100.97,100.00,100.37,99.61,100.82
