"barrio","n_listings_airbnb"
"Abrantes",9
"Acacias",82
"Adelfas",29
"Aeropuerto",2
"Aguilas",9
"Alameda de Osuna",12
"Almagro",102
"Almenara",43
"Almendrales",12
"Aluche",14
"Ambroz",3
"Amposta",1
"Apostol Santiago",8
"Arapiles",104
"Aravaca",12
"Arcos",9
"Argüelles",107
"Atalaya",0
"Atocha",13
"Bellas Vistas",28
"Berruguete",16
"Buenavista",12
"Butarque",3
"Campamento",13
"Canillas",20
"Canillejas",6
"Cármenes",11
"Casa de Campo",35
"Casco Histórico de Barajas",15
"Casco Histórico de Vallecas",10
"Casco Histórico de Vicálvaro",5
"Castellana",38
"Castilla",22
"Castillejos",33
"Chopera",53
"Ciudad Jardín",31
"Ciudad Universitaria",16
"Colina",6
"Comillas",29
"Concepción",20
"Corralejos",5
"Cortes",459
"Costillares",18
"Cuatro Caminos",70
"Cuatro Vientos",1
"Delicias",52
"El Goloso",4
"El Pardo",2
"El Plantío",3
"El Viso",23
"Embajadores",1105
"Ensanche de Vallecas",17
"Entrevías",6
"Estrella",11
"Fontarrón",17
"Fuente del Berro",48
"Fuentelareina",1
"Gaztambide",86
"Goya",113
"Guindalera",109
"Hellín",1
"Hispanoamérica",37
"Horcajo",1
"Ibiza",50
"Imperial",54
"Jerónimos",68
"Justicia",516
"La Paz",9
"Legazpi",24
"Lista",61
"Los Angeles",6
"Los Rosales",11
"Lucero",17
"Marroquina",6
"Media Legua",9
"Mirasierra",8
"Moscardó",23
"Niño Jesús",21
"Nueva España",21
"Numancia",28
"Opañel",27
"Orcasitas",2
"Orcasur",5
"Pacífico",76
"Palacio",649
"Palomas",4
"Palomeras Bajas",17
"Palomeras Sureste",14
"Palos de Moguer",133
"Pavones",2
"Peñagrande",20
"Pilar",12
"Pinar del Rey",13
"Piovera",4
"Portazgo",9
"Pradolongo",6
"Prosperidad",44
"Pueblo Nuevo",27
"Puerta Bonita",14
"Puerta del Angel",93
"Quintana",22
"Recoletos",84
"Rejas",10
"Rios Rosas",64
"Rosas",2
"Salvador",8
"San Andrés",6
"San Cristobal",1
"San Diego",34
"San Fermín",13
"San Isidro",40
"San Juan Bautista",18
"San Pascual",3
"Santa Eugenia",0
"Simancas",17
"Sol",544
"Timón",6
"Trafalgar",178
"Universidad",900
"Valdeacederas",27
"Valdefuentes",29
"Valdemarín",2
"Valdezarza",11
"Vallehermoso",28
"Valverde",24
"Ventas",47
"Vinateros",11
"Vista Alegre",28
"Zofío",4
