name,Nº total de hogares,Tamaño medio del hogar,Valor catastral medio de los bienes inmuebles: personas físicas (2016),Valor catastral medio de los bienes inmuebles: personas jurídicas (2016),Superficie media de la vivienda (m2) en transacción (2016),Duración media del crédito (meses) en transacción de vivienda (2016),Nº Total de viviendas familiares (Censo Edificios y Viviendas 2011),Principal,Secundaria,Desocupada,Otro tipo
Palacio,11178,1.9997316157,126287.18,446649.16,77.55,254,14983,9881,1743,3014,345
Embajadores,21803,2.0469660139,87972.37,236573.23,58.22,266,28818,18991,2858,6527,442
Cortes,5406,1.9461709212,153154.96,944128.86,87.19,231,7802,4468,896,2311,127
Justicia,8335,1.9644871026,162664.79,583887.55,94.51,237,11687,6707,2173,2592,215
Universidad,15707,1.9551155536,107242.94,451025.97,66.1,228,22321,13312,2642,5802,565
Sol,3770,1.9472148541,176345.52,1019004.44,76.52,269,5575,3065,832,1501,177
Imperial,9563,2.3680853289,88144.21,414954.15,79.01,298,10363,8348,938,996,81
Acacias,15308,2.3951528612,86408.61,197167.82,66.9,326,16840,13439,1601,1683,117
Chopera,8427,2.3453186187,80624.15,182794.97,69.8,293,10078,8152,780,1075,71
Legazpi,7391,2.5623055067,90768.84,184146.81,104.48,358,3404,2660,186,558,0
Delicias,11405,2.3904427883,83964.95,355150.47,76.22,289,11398,8544,932,1632,290
Palos de Moguer,11646,2.1964623047,82777.16,267116.68,63.34,295,13852,10359,1401,1954,138
Atocha,420,2.6404761905,155483.47,1016857.71, - , - ,619,452,67,100,0
Pacífico,14592,2.3046189693,96829.93,236267.38,72.4,275,16761,13819,1037,1321,584
Adelfas,7464,2.4315380493,91164.18,187900.86,87.32,287,7277,5819,322,823,313
Estrella,8599,2.6936853122,127300.47,350251.63,109.28,307,9428,8342,429,535,122
Ibiza,9223,2.3145397376,164635.13,543521.43,90.11,281,11003,9030,809,980,184
Jerónimos,2805,2.5144385027,321291.98,1852005.34,146.25,257,3460,2619,183,478,180
Niño Jesús,5570,2.7244165171,208146.55,396088.59,121.49,296,6056,5216,376,306,158
Recoletos,6623,2.3424430017,264231.14,811849.93,161.23,213,8984,5457,1593,1835,99
Goya,13074,2.2390240171,160773.86,528748.92,86.06,265,17624,11948,2631,2896,149
Fuente del Berro,9095,2.2633315008,111060.67,277637.51,72.28,295,11179,8328,1121,1660,70
Guindalera,17282,2.3524476334,116023.45,231154.67,83.18,292,20537,15169,2425,2453,490
Lista,9130,2.2734939759,154380.78,425828.14,94.56,281,12254,8304,1956,1608,386
Castellana,6896,2.4675174014,265458.38,718242.3,127.44,237,9207,5849,1864,1317,177
El Viso,6041,2.8242012912,317749.78,729867.75,153,242,7399,5035,1496,839,29
Prosperidad,15682,2.3013008545,102323.68,289673.39,76.34,297,18533,14197,2023,2017,296
Ciudad Jardín,7804,2.3473859559,114257.16,271857.02,74.4,292,9072,6874,568,1421,209
Hispanoamérica,12237,2.5534853314,155609.31,538971.78,104.22,285,14847,10676,1643,2467,61
Nueva España,8985,2.6833611575,208156.53,511083.51,128.99,289,11351,7435,2424,1404,88
Castilla,6503,2.552360449,107021.1,558054.16,95.85,287,7558,5581,1111,668,198
Bellas Vistas,11626,2.4392740409,78814.64,164327.71,61.65,294,14468,10458,1399,2184,427
Cuatro Caminos,14807,2.2920240427,116606.49,569473.97,80.15,287,18306,13199,1827,2775,505
Castillejos,9112,2.1929323968,115707.76,296521.29,81.45,275,11342,7739,2102,1184,317
Almenara,9125,2.4089863014,82608,149222.87,82.25,295,9052,6590,623,1308,531
Valdeacederas,10414,2.4211638179,57138.76,90740.96,59.26,293,11665,8216,526,2801,122
Berruguete,10074,2.4135398054,71255.6,100288.9,61.37,280,11358,8040,947,2271,100
Gaztambide,10242,2.1876586604,116301.97,284237.8,84.45,257,14427,9981,2167,2172,107
Arapiles,11064,2.1853759942,121262.94,385428.53,78.92,273,14745,10762,1265,2657,61
Trafalgar,11580,2.1170984456,117119.32,348111.97,79.65,271,14900,10578,1200,3065,57
Almagro,7990,2.4653316646,173061.64,673284,107.87,231,10373,6938,1258,2127,50
Rios Rosas,11894,2.2551706743,123153.18,461969.65,75.96,267,14742,10849,1846,1805,242
Vallehermoso,8190,2.415018315,178491.72,589130.51,112.84,281,10315,7712,1445,1127,31
El Pardo,1293,2.6249033256,94274.82,3690125.07,83.23, - ,1737,1427,109,196,5
Fuentelareina,1093,2.9240622141,169153.36,584623.46, - , - ,1456,1055,101,282,18
Peñagrande,16755,2.6417188899,99601.21,293211.64,110.12,305,18039,15071,855,1726,386
Pilar,19272,2.3769198838,75448.92,296417.92,66.27,307,21893,18735,1021,1822,315
La Paz,12456,2.7137925498,96588.23,1670746.37,110.42,300,13983,11886,1030,982,85
Valverde,22081,2.7177664055,84664.28,453219.85,84.71,316,14738,11920,951,1819,48
Mirasierra,9915,3.1132627332,151390.36,426059.76,102.67,354,10030,7792,1160,1037,41
El Goloso,5317,3.2751551627,78268.51,419826.11,96.2,343,224,196,28,0,0
Casa de Campo,5524,2.324583635,104126.85,1015194.47,92.41,302,6372,4934,446,933,59
Argüelles,10379,2.3057134599,202354.96,662236.47,105.58,258,13652,9589,2205,1815,43
Ciudad Universitaria,6063,2.6476991588,155934.72,1583907.58,114.22,284,7591,5459,1090,1022,20
Valdezarza,12019,2.4333139196,81604.09,213782.51,86.34,300,14511,11752,1186,1492,81
Valdemarín,1843,3.4796527401,198426.45,338310.17,171.76,307,1106,558,156,388,4
El Plantío,830,3.2771084337,377354.6,409873.89, - , - ,1517,600,770,147,0
Aravaca,8235,3.1207043109,148930.14,246553.91,150.41,293,8498,5956,1114,1393,35
Cármenes,6473,2.6320098872,64358.49,178814.06,71.71,317,6632,5548,422,648,14
Puerta del Angel,17260,2.3757821553,69895.94,119933.03,66.82,281,21243,16572,1421,3113,137
Lucero,13973,2.5240821584,63561.97,150871.18,68.2,306,15712,13456,820,1415,21
Aluche,26347,2.4787262307,59260.27,233904.08,72.25,302,30218,26341,1767,2032,78
Campamento,7283,2.5775092682,63288.04,358278.21,74.04,317,8305,6783,703,766,53
Cuatro Vientos,2095,2.6100238663,60719.63,295227.79,90.36, - ,254,216,23,15,0
Aguilas,20611,2.4719324632,55808.36,233311.03,80.21,318,22998,20261,864,1809,64
Comillas,9397,2.3506438225,58766.9,105592.45,67.95,287,11477,9090,611,1742,34
Opañel,12910,2.4803253292,54102.28,92432.84,73.29,304,14827,11832,754,2187,54
San Isidro,14867,2.5530369274,50635.21,80450.97,67.81,302,17187,13570,1415,2070,132
Vista Alegre,16991,2.6084397622,53712.09,158877.46,64.58,306,19946,16433,1182,2255,76
Puerta Bonita,12193,2.7057327975,50090.09,116932.51,67.05,304,13812,10959,727,1848,278
Buenavista,16674,2.7136859782,53324.23,206163.83,75.26,284,9757,8200,432,1109,16
Abrantes,10810,2.7172062905,50948.32,133884.65,68.15,307,11354,8727,745,1866,16
Orcasitas,8382,2.672154617,53631.42,118190.8,97.91,337,7693,6949,99,640,5
Orcasur,4657,2.8625724715,53757.51,212990.63,91.25,337,3819,3549,32,238,0
San Fermín,8100,2.8303703704,50458.7,191449.84,79.07,313,6949,5624,569,692,64
Almendrales,7516,2.7308408728,54334.41,88043.41,69.84,289,7568,6239,180,1085,64
Moscardó,9649,2.6270079801,51696.95,105933.68,64.24,284,11321,9380,398,1345,198
Zofío,4921,2.7323714692,42464.99,81159.57,58.83,293,5460,4766,122,552,20
Pradolongo,5893,2.8537247582,43833.22,82425.29,71.52,279,6466,5292,530,617,27
Entrevías,12587,2.6647334552,42990.25,145580.26,79.12,324,13780,12569,244,917,50
San Diego,15401,2.5451594052,45299.2,72857.94,52.44,276,17872,13895,620,3261,96
Palomeras Bajas,14837,2.6507380198,44192.6,100605.62,69.29,303,16279,14068,494,1687,30
Palomeras Sureste,15815,2.6552007588,42393.26,100952.8,76.71,314,15692,13940,277,1472,3
Portazgo,10615,2.6052755535,39871.19,60054.54,72.01,318,12047,10324,262,1449,12
Numancia,17805,2.5768042685,46422.36,107402.85,59.46,283,20244,16225,1249,2572,198
Pavones,3258,2.7977286679,99042.85,423511.33,82.32,313,3567,3299,112,151,5
Horcajo,2180,2.9518348624,104109.32,102880.39,101, - ,2181,1591,155,429,6
Marroquina,10818,2.5296727676,84431.65,232850.89,82.07,296,11952,10838,349,683,82
